departure_area_code,departure_terminal_code,departure_terminal_name,arrival_area_code,arrival_terminal_code,arrival_terminal_name
03,1242001,가평,03,1045001,고양(백석)
03,1242001,가평,03,1050001,고양(화정)
03,1242001,가평,03,1223501,금곡(남양주)
03,1242001,가평,01,0750501,김포공항
03,1242001,가평,03,1225901,도농역
03,1242001,가평,01,0511601,동서울
03,1242001,가평,03,1246501,설악
03,1242001,가평,03,1658501,수원터미널
03,1242001,가평,03,1529901,안산터미널
03,1242001,가평,03,1624001,우만동
03,1242001,가평,01,2238201,인천공항1터미널
03,1242001,가평,01,2238202,인천공항2터미널
03,1242001,가평,08,3112001,천안
03,1242001,가평,03,1221701,평내
03,1242001,가평,03,1791901,평택
02,2473401,간성,02,2551901,강릉시외터미널
02,2473401,간성,02,2472501,거진
02,2473401,간성,02,2465801,군단앞
02,2473401,간성,02,2500701,낙산
02,2473401,간성,02,2460601,남교
02,2473401,간성,02,2570801,대진
02,2473401,간성,01,4124601,동대구
02,2473401,간성,01,0511601,동서울
02,2473401,간성,02,2573501,동해
02,2473401,간성,02,2516001,두촌
02,2473401,간성,02,2500001,물치
02,2473401,간성,02,2460501,백담사
02,2473401,간성,01,4620401,부산동부
02,2473401,간성,02,2592901,삼척
02,2473401,간성,02,2515701,성산
02,2473401,간성,02,2482701,속초
02,2473401,간성,02,2504401,손양
02,2473401,간성,02,2464801,신남
02,2473401,간성,02,2544001,아산병원(강릉)
02,2473401,간성,02,2452401,양구
02,2473401,간성,02,2455401,양구정중앙
02,2473401,간성,02,2503101,양양
02,2473401,간성,05,3632601,울진
02,2473401,간성,02,2638201,원주
02,2473401,간성,02,2461201,원통
02,2473401,간성,01,3417501,유성시외
02,2473401,간성,02,2505301,인구
02,2473401,간성,02,2463501,인제
02,2473401,간성,02,2474101,장신
02,2473401,간성,07,5493301,전주시외터미널
02,2473401,간성,02,2541901,주문진
02,2473401,간성,02,2474201,진부령
02,2473401,간성,02,2476801,창바위
02,2473401,간성,02,2516401,철정
02,2473401,간성,02,2443501,춘천
02,2473401,간성,05,3776001,포항
02,2473401,간성,02,2504701,하조대
02,2473401,간성,02,2513501,홍천
02,2473401,간성,02,2523401,횡성
09,2761001,감곡,03,1136601,동두천
09,2761001,감곡,01,0511601,동서울
09,2761001,감곡,03,1454501,부천
09,2761001,감곡,01,0671801,서울남부
09,2761001,감곡,03,1529901,안산터미널
09,2761001,감곡,03,1400601,안양
09,2761001,감곡,03,1737301,이천
09,2761001,감곡,01,2224201,인천
09,2761001,감곡,09,2716501,제천
05,3645901,강구,02,2551901,강릉시외터미널
05,3645901,강구,05,3815701,경주시외
05,3645901,강구,05,3633601,구산
05,3645901,강구,02,2593601,근덕
05,3645901,강구,05,3634801,기성
05,3645901,강구,05,3770101,나루끝
05,3645901,강구,02,2500701,낙산
05,3645901,강구,05,3641901,도곡
05,3645901,강구,01,4124301,동대구(동양고속)
05,3645901,강구,01,0511601,동서울
05,3645901,강구,03,1658501,수원터미널
05,3645901,강구,03,1529901,안산터미널
05,3645901,강구,03,1813701,오산
05,3645901,강구,01,2224201,인천
05,3645901,강구,09,2839701,청주
05,3645901,강구,05,3776001,포항
02,2551901,강릉시외터미널,02,2564401,고단
02,2551901,강릉시외터미널,03,1275701,광주(경기)
02,2551901,강릉시외터미널,01,6193701,광주(유·스퀘어)
02,2551901,강릉시외터미널,03,1194401,구리
02,2551901,강릉시외터미널,05,3923301,구미
